Time,Open,High,Low,Last,Change,Volume
04/20/17 13:00,20571.53,20629.78,20568.36,20621.5,49.97,30983026
04/20/17 12:00,20545.85,20590.19,20542.79,20571.53,27.2,32795775
04/20/17 11:00,20492.41,20549.09,20480.26,20544.33,51.77,33328660
04/20/17 10:00,20435.4,20499.45,20435.06,20492.56,57.19,40724635
04/20/17 09:00,20410.31,20467.68,20410.31,20435.37,30.88,35253829
04/19/17 16:00,20402.92,20404.49,20402.54,20404.49,1.09,25394282
04/19/17 15:00,20412.94,20422.97,20379.55,20403.4,-9.45,66405726
04/19/17 14:00,20461.89,20468.73,20405.59,20412.85,-48.94,32066083
04/19/17 13:00,20473.74,20473.78,20436.39,20461.79,-12,26359957
04/19/17 12:00,20486.11,20487.48,20446.76,20473.79,-11.72,24167018
04/19/17 11:00,20499.21,20517.55,20484.73,20485.51,-13.69,31826456
04/19/17 10:00,20532.16,20534.11,20479.82,20499.2,-33.32,40547850
04/19/17 09:00,20503.52,20546.69,20503.52,20532.52,9.24,34154398
04/18/17 16:00,20522.58,20524.44,20520.54,20523.28,1.15,21701330
04/18/17 15:00,20521.7,20544.06,20501.02,20522.13,0.19,59380182
04/18/17 14:00,20517.63,20548.55,20508.25,20521.94,5.02,27563090
04/18/17 13:00,20481.87,20520.44,20468.28,20516.92,34.92,22201979
04/18/17 12:00,20479.58,20497.75,20462.28,20482,2.13,27855434
04/18/17 11:00,20543.7,20558.56,20477.71,20479.87,-63.16,32959730
04/18/17 10:00,20595.54,20599.03,20526.66,20543.03,-53.24,38185902
04/18/17 09:00,20561.39,20600.12,20525.56,20596.27,-40.65,30145688
04/17/17 16:00,20638.81,20641.85,20636.44,20636.92,-1.75,39535105
04/17/17 15:00,20580.28,20644.41,20573.07,20638.67,57.53,53412690
04/17/17 14:00,20582.81,20593.63,20572.66,20581.14,-1.62,23455551
04/17/17 13:00,20565.12,20592.61,20562.82,20582.76,17.67,17427425
04/17/17 12:00,20550.67,20577.34,20549.88,20565.09,14.28,19269242
04/17/17 11:00,20555.18,20577.79,20549.66,20550.81,-4.33,23507694
04/17/17 10:00,20526.86,20556.13,20523.46,20555.14,28.28,28618277
04/17/17 09:00,20484.75,20534.79,20484.75,20526.86,73.61,23650673
